Agent/Customer,Time,Message
Sales Agent,32:36,I. 
Customer,32:37,Will go through with it so I will check it out okay. 
Sales Agent,32:42,"No problem, I am able to see that you have filled up the application already. I would just like to know that have you been referred here by somebody? "
Customer,32:51,"No no no, I have just checked it out by myself only. "
Sales Agent,32:54,"By yourself, "
Sales Agent,32:57,"OK, because we have the referral, referral policies here where you get a chance to earn money through upgraded. So lets suppose if somebody had referred you, you would have got a referral code that once you apply it, you get a 5000 of fee waiver, okay. Based on that. And if lets say you are enrolling here with this particular program, as you have not been referred by anybody else, but you refer any of your friend, any of your family or somebody from your colleagues, "
Sales Agent,33:23,"you get as you are a paid learner, you get a ₹7500 of cash bonus "
Sales Agent,33:30,"once that person endures. This is on a per referral basis. So you can recover your registration fee also by referring to people which is 15,000. So that is a referral amount for running for macro. "
Customer,33:42,"How can I change that amount if I refer and I that amount, so how can I take that amount? "
Sales Agent,33:52,You are asking me of. 
Customer,33:54,"See if I refer someone and that person is like he is able to take that course particular course, any course and I will get the required amount. So how can I change that particular amount? Thats what. "
Sales Agent,34:08,Amount you have to share your referral code through me to your friend and that referral code needs to be put in the application form of that particular person. 
Sales Agent,34:17,"Now when the person enrolls, within the first 30 days of that persons enrollment you would be getting a cash bonus in your bank account. Thats pure cash only, not a voucher or a coupon like that. We will be asking for your bank account details and there it will be transferred. "
Customer,34:34,"OK, OK, fine. "
Sales Agent,34:36,"Yeah, okay. That is only up till this Raj particularly. So if you would have anybody in mind, you can share the name and number and email ID with us. We will be doing the counseling and everything because this amount which I am telling you of is particularly for this course only. If you refer somebody for other courses that upgrade offers some tech courses, management courses, doctorate courses, then the amount increases with the fees after also. So there are some percentages that we have designed, "
Sales Agent,35:04,"okay for high costing courses, it will be a higher rational amount that you can get. "
Customer,35:10,"Okay, fine. "
Sales Agent,35:12,Yeah. I think that I will share you some more information on WhatsApp. Maybe 
Sales Agent,35:17,"we can have a chat in the evening whenever you feel like. So you just let me know 10 minutes prior to whenever you would like to connect and then I will be able to give a call back Because this is an extension line, "
Sales Agent,35:29,"we are calling on the recorded line. So do you have to ask any other thing, any other concerns apart from the replacement or the recruitment side? "
Customer,35:39,"No, I dont know. No question Carol, I just I will check it out whatever you share and check it out. If I have any doubts, I will surely get you. "
Sales Agent,35:51,"Done, done. Okay then all done from my side. Thanks for giving your time. Good day. "
Customer,35:59,"Okay, thank you. Thank you."
